"name","longitude","latitude","type","bike_count_pm","ped_count_pm"
"1st & Alameda",-118.238125,34.049175,"none",62,241
"4th & Wilton",-118.313441,34.06713,"bike route",48,87
"7th & Figueroa",-118.259883,34.049388,"none",216,1979
"8th & La Brea",-118.344641,34.060446,"none",72,272
"9th & Pacific",-118.287306,33.735118,"none",58,160
"Alvarado & 7th",-118.276821,34.056479,"none",150,625
"Broadway Bridge",-118.221302,34.072107,"none",63,26
"Ballona Creek",-118.416653,33.986428,"bike path",353,181
"Eagle Rock & Colorado",-118.214221,34.139124,"bike route",53,246
"Echo Park & Sunset",-118.260441,34.078078,"none",121,1369
"Figueroa & Pasadena",-118.211303,34.090838,"none",93,253
"Florence & Graham",-118.242545,33.974755,"none",119,1526
"Fountain & Vermont",-118.292327,34.09553,"none",110,518
"Glendale & Park",-118.261514,34.07623,"bike route",65,189
"Hollywood & Highland",-118.338633,34.101535,"none",93,1377
"Hoover & McClintock",-118.283916,34.02734,"bike lane",977,711
"Idaho & Bundy",-118.46137,34.038827,"none",105,263
"Kittridge & De Soto",-118.588486,34.191145,"bike route",56,191
"LA River @ Baum Bridge",-118.270011,34.120758,"bike path",164,46
"Lankershim & Vineland",-118.370433,34.157557,"none",97,213
"Lincoln & Bluff Creek",-118.427467,33.967886,"bike path",35,32
"Long Beach & Los Flores",-118.211603,33.930649,"none",39,224
"Los Feliz & Riverside",-118.271599,34.116566,"bike route",97,124
"Manchester & Hoover",-118.287048,33.960056,"bike route",73,407
"National & Overland",-118.417597,34.03239,"none",42,147
"Santa Monica & Highland",-118.338675,34.090803,"none",103,411
"Santa Monica & Westwood",-118.436952,34.049673,"bike lane",153,370
"Sepulveda & Ohio",-118.446908,34.050206,"bike path",138,167
"Sunset & Hyperion",-118.27971,34.091905,"bike lane",145,542
"Topanga & Burbank",-118.605738,34.171832,"none",35,98
"Venice & National",-118.388457,34.02958,"bike lane",118,287
"Washington & Compton",-118.244069,34.020884,"none",90,621
"Washington & Mildred Ave",-118.432311,33.996811,"bike path",391,154
"Westholme & Wilshire",-118.433948,34.062081,"bike route",52,162
"Westwood & Le Conte",-118.445277,34.063717,"bike lane",220,3806
"Wilshire & Western",-118.309193,34.061619,"none",155,2303
"Woodman & Orange Line Station",-118.431244,34.179927,"bike path",49,133
"York & Ave 50",-118.20684,34.121433,"none",40,180
